t,hour,lambda_ship_per_hour,expected_ship_count_per_period,previous_day_arrival_count,current_day_arrival_count,next_day_arrival_count
0,0,0.2530181951464297,0.2530181951464297,1,0,0
1,1,0.22983274655815278,0.22983274655815278,1,0,0
2,2,0.21735237805653809,0.21735237805653809,1,0,0
3,3,0.23207809450287192,0.23207809450287192,0,0,0
4,4,0.28765916801277547,0.28765916801277547,0,0,0
5,5,0.38760897658089655,0.38760897658089655,0,1,1
6,6,0.51674818580377957,0.51674818580377957,0,0,0
7,7,0.63699841990735262,0.63699841990735262,0,0,0
8,8,0.70235076272498442,0.70235076272498442,1,1,1
9,9,0.69244905882644936,0.69244905882644936,0,1,0
10,10,0.63306475506125359,0.63306475506125359,0,0,0
11,11,0.57644583895269208,0.57644583895269208,0,0,1
12,12,0.55951904777666006,0.55951904777666006,1,2,0
13,13,0.58085642424323503,0.58085642424323503,1,4,1
14,14,0.61124175079158505,0.61124175079158505,0,1,0
15,15,0.6205114290492062,0.6205114290492062,1,1,0
16,16,0.59851652324396287,0.59851652324396287,0,0,1
17,17,0.55858275997994111,0.55858275997994111,1,2,3
18,18,0.5220909179570653,0.5220909179570653,1,0,0
19,19,0.49617077730567105,0.49617077730567105,2,0,0
20,20,0.46834065215593468,0.46834065215593468,2,0,0
21,21,0.42639328788323377,0.42639328788323377,0,0,0
22,22,0.37659151626083243,0.37659151626083243,1,2,1
23,23,0.33557833321849662,0.33557833321849662,1,0,0
