trajectory_type,period,time_hour,series,value
flow,0,0.0,wind_nominal_mw,11.861861861861865
flow,1,0.25,wind_nominal_mw,20.57057057057057
flow,2,0.5,wind_nominal_mw,28.37837837837838
flow,3,0.75,wind_nominal_mw,31.68168168168168
flow,4,1.0,wind_nominal_mw,19.81981981981982
flow,5,1.25,wind_nominal_mw,22.372372372372375
flow,6,1.5,wind_nominal_mw,25.675675675675677
flow,7,1.75,wind_nominal_mw,29.12912912912913
flow,8,2.0,wind_nominal_mw,28.37837837837838
flow,9,2.25,wind_nominal_mw,41.44144144144145
flow,10,2.5,wind_nominal_mw,50.00000000000001
flow,11,2.75,wind_nominal_mw,47.8978978978979
flow,12,3.0,wind_nominal_mw,32.58258258258258
flow,13,3.25,wind_nominal_mw,24.324324324324323
flow,14,3.5,wind_nominal_mw,21.17117117117117
flow,15,3.75,wind_nominal_mw,25.825825825825824
flow,16,4.0,wind_nominal_mw,32.432432432432435
flow,17,4.25,wind_nominal_mw,28.67867867867868
flow,18,4.5,wind_nominal_mw,30.03003003003003
flow,19,4.75,wind_nominal_mw,24.324324324324323
flow,20,5.0,wind_nominal_mw,24.624624624624627
flow,21,5.25,wind_nominal_mw,21.77177177177177
flow,22,5.5,wind_nominal_mw,22.52252252252252
flow,23,5.75,wind_nominal_mw,18.468468468468473
flow,24,6.0,wind_nominal_mw,15.915915915915916
flow,25,6.25,wind_nominal_mw,15.465465465465465
flow,26,6.5,wind_nominal_mw,13.213213213213214
flow,27,6.75,wind_nominal_mw,13.363363363363366
flow,28,7.0,wind_nominal_mw,12.312312312312313
flow,29,7.25,wind_nominal_mw,16.366366366366368
flow,30,7.5,wind_nominal_mw,14.414414414414415
flow,31,7.75,wind_nominal_mw,16.666666666666668
flow,32,8.0,wind_nominal_mw,16.666666666666668
flow,33,8.25,wind_nominal_mw,15.015015015015015
flow,34,8.5,wind_nominal_mw,13.513513513513514
flow,35,8.75,wind_nominal_mw,13.363363363363366
flow,36,9.0,wind_nominal_mw,15.615615615615617
flow,37,9.25,wind_nominal_mw,19.66966966966967
flow,38,9.5,wind_nominal_mw,30.33033033033033
flow,39,9.75,wind_nominal_mw,27.92792792792793
flow,40,10.0,wind_nominal_mw,20.57057057057057
flow,41,10.25,wind_nominal_mw,19.219219219219223
flow,42,10.5,wind_nominal_mw,16.666666666666668
flow,43,10.75,wind_nominal_mw,19.06906906906907
flow,44,11.0,wind_nominal_mw,19.36936936936937
flow,45,11.25,wind_nominal_mw,18.16816816816817
flow,46,11.5,wind_nominal_mw,18.31831831831832
flow,47,11.75,wind_nominal_mw,19.51951951951952
flow,48,12.0,wind_nominal_mw,12.462462462462463
flow,49,12.25,wind_nominal_mw,14.114114114114116
flow,50,12.5,wind_nominal_mw,10.21021021021021
flow,51,12.75,wind_nominal_mw,9.75975975975976
flow,52,13.0,wind_nominal_mw,11.111111111111112
flow,53,13.25,wind_nominal_mw,11.411411411411411
flow,54,13.5,wind_nominal_mw,8.258258258258259
flow,55,13.75,wind_nominal_mw,5.855855855855856
flow,56,14.0,wind_nominal_mw,3.153153153153154
flow,57,14.25,wind_nominal_mw,2.5525525525525525
flow,58,14.5,wind_nominal_mw,1.5015015015015014
flow,59,14.75,wind_nominal_mw,3.3033033033033035
flow,60,15.0,wind_nominal_mw,2.2522522522522523
flow,61,15.25,wind_nominal_mw,4.504504504504505
flow,62,15.5,wind_nominal_mw,6.306306306306308
flow,63,15.75,wind_nominal_mw,4.354354354354355
flow,64,16.0,wind_nominal_mw,6.006006006006006
flow,65,16.25,wind_nominal_mw,5.555555555555556
flow,66,16.5,wind_nominal_mw,6.156156156156157
flow,67,16.75,wind_nominal_mw,4.804804804804806
flow,68,17.0,wind_nominal_mw,5.555555555555556
flow,69,17.25,wind_nominal_mw,5.405405405405406
flow,70,17.5,wind_nominal_mw,3.9039039039039043
flow,71,17.75,wind_nominal_mw,2.702702702702703
flow,72,18.0,wind_nominal_mw,4.2042042042042045
flow,73,18.25,wind_nominal_mw,6.606606606606607
flow,74,18.5,wind_nominal_mw,4.954954954954955
flow,75,18.75,wind_nominal_mw,7.6576576576576585
flow,76,19.0,wind_nominal_mw,7.5075075075075075
flow,77,19.25,wind_nominal_mw,7.057057057057058
flow,78,19.5,wind_nominal_mw,10.360360360360362
flow,79,19.75,wind_nominal_mw,8.408408408408409
